t,x,y
0.0,7.539267015706855,-229.9476439790576
0.03333333333333326,10.710568613440046,-229.99093772279275
0.06666666666666675,14.990091352436139,-228.00573926327434
0.1,15.07853403141371,-224.92146596858652
0.13333333333333336,21.248082498091662,-219.14374087222495
0.16666666666666674,27.86312588379542,-212.91279127805183
0.2,35.028530179478366,-207.1747068919567
0.23333333333333336,41.89833265584684,-203.53821920709197
0.2666666666666666,48.348618954905305,-202.22318782081015
0.3,53.75798562699015,-203.23805302832693
0.33333333333333337,58.05305265443985,-206.02302244961515
0.36666666666666664,59.39544708833159,-211.00865576235628
0.4,58.852692406131155,-215.00373191326662
0.43333333333333324,55.703487117528766,-217.90124716012906
0.4666666666666666,49.17259144623449,-218.91483621930502
0.5000000000000001,40.033789495382734,-217.31237947016234
0.5333333333333333,27.230913371688985,-213.94697287164945
0.5666666666666667,11.797993544896144,-210.3362502556197
0.5999999999999999,-5.743737424908886,-213.54629879638787
0.6333333333333334,-26.733709460266255,-210.3369724493191
0.6666666666666669,-55.28795811518319,-204.81675392670172
0.7000000000000001,-80.41960698175126,-205.12338435824995
0.7333333333333334,-106.52130443532997,-207.07221104512973
0.7666666666666666,-96.29226134901046,-210.97438245355397
0.8000000000000002,-123.19436915826736,-220.9306787498938
0.8333333333333334,-170.89005235602087,-217.38219895287966
0.8666666666666668,-201.7426322352726,-233.43384836539371
0.8999999999999999,-220.06478201167783,-221.58423845510742
0.9333333333333333,-241.9529946551222,-231.15959943316489
0.9666666666666667,-257.7215819153935,-219.3049683972074
1.001666666666667,-269.6697646948214,-214.34496817574836
1.035,-278.48005630868875,-208.36728491377607
1.0683333333333336,-280.8949151813413,-201.45151672768998
1.1016666666666666,-278.418263329678,-196.2423955974516
1.135,-270.25359865786436,-194.5202105426206
1.1683333333333334,-256.5768498205514,-196.71501044563638
1.2016666666666664,-236.92314433596562,-202.51322748914822
1.235,-212.14486369833412,-210.8316321133516
1.2683333333333335,-180.95678388586794,-223.72436398857644
1.301666666666667,-150.78534031413608,-222.40837696335075
1.335,-128.16753926701563,-232.46073298429337
1.3683333333333334,-88.19870180265525,-250.44028511174292
1.4016666666666666,-45.057427641273534,-252.94241318872105
1.435,0.887285414984035,-251.9743725294568
1.4683333333333335,48.010852640927624,-247.41165797428198
1.501666666666667,94.51257625653852,-238.63792985637292
1.535,139.90006096413777,-226.97678692272007
1.5683333333333336,181.99062629126797,-214.55586706542454
1.601666666666667,225.99716427671024,-190.54904498104906
1.635,260.0001559718005,-191.181022538442
1.668333333333333,281.5908524712477,-186.68830065372595
1.7016666666666669,303.7637642735017,-185.0340804022967
1.735,317.47672012620205,-186.92398310799808
1.7683333333333335,323.92454949759986,-190.91652100345232
1.8016666666666665,321.79489825166365,-194.96572740201873
1.835,311.6230366492148,-189.738219895288
1.8683333333333334,273.92670157068073,-197.27748691099487
1.9016666666666666,245.73731867120705,-201.96898114145824
1.9350000000000005,210.92006811681222,-204.76113645183386
1.9683333333333335,173.8602195042522,-223.93276653486646
2.0016666666666665,127.08509434592315,-225.25783493716563
2.035,76.0766571878753,-226.88528592761145
2.0683333333333334,21.231194173165022,-228.04365301209805
2.101666666666667,-36.9120917977898,-229.16174316797037
2.135,-96.40088327895955,-229.86666834515268
2.168333333333333,-155.60327838865032,-230.93916348763878
2.201666666666667,-214.1818310646513,-230.9661016988407
2.235,-268.99988346045666,-230.27673024688147
2.2683333333333335,-319.3046164711616,-220.84004314919548
2.3016666666666663,-338.3036013312644,-225.41890569596512
2.335,-371.93717277486905,-204.81675392670172
2.3683333333333336,-404.83656291898023,-196.78810845447651
2.4016666666666664,-429.14141345850885,-187.86925458830183
2.4350000000000005,-445.154462529646,-179.11437373115587
